seed,fold,auc,best_epoch
42,1,0.9261307692307691,216
42,2,0.9094131868131867,218
42,3,0.9243461538461537,205
42,4,0.9141846153846154,122
42,5,0.9224994505494506,169
2024,1,0.914078021978022,129
2024,2,0.9141538461538462,235
2024,3,0.9233247252747253,180
2024,4,0.9261043956043956,235
2024,5,0.9304197802197803,183
3407,1,0.9189120879120879,185
3407,2,0.9143225274725275,148
3407,3,0.9168681318681319,226
3407,4,0.9169296703296704,212
3407,5,0.9313945054945054,236
123,1,0.9218604395604396,219
123,2,0.9200291208791208,226
123,3,0.9111373626373627,140
123,4,0.9308450549450549,191
123,5,0.9106186813186815,88
999,1,0.9199461538461537,229
999,2,0.9195824175824177,215
999,3,0.9221131868131868,207
999,4,0.919464835164835,215
999,5,0.9353329670329671,196
1001,1,0.9250697802197803,235
1001,2,0.924393956043956,159
1001,3,0.9193274725274726,166
1001,4,0.9219791208791208,218
1001,5,0.9165186813186813,217
1337,1,0.9285054945054946,133
1337,2,0.9232791208791208,129
1337,3,0.917243956043956,235
1337,4,0.9182956043956043,196
1337,5,0.9176582417582417,205
2718,1,0.9290835164835165,225
2718,2,0.9200999999999999,236
2718,3,0.9124714285714286,152
2718,4,0.918954945054945,235
2718,5,0.9209967032967032,212
