number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9292165054945056,2026-03-23 00:36:56.347229,2026-03-23 00:37:11.520437,0 days 00:00:15.173208,0.662397808134481,3.005575058716044,0.07220721098226064,9,12.374511199743695,2000,3.3323645788192616e-08,5.314343038625026,0.6624074561769746,COMPLETE
1,0.9289570109890111,2026-03-23 00:37:11.782718,2026-03-23 00:38:35.362301,0 days 00:01:23.579583,0.6727299868828402,2.6237821581611893,0.010437335666720523,10,16.816410175208013,3000,4.4734294104626844e-07,0.02034955951308026,0.6849356442713105,COMPLETE
2,0.9298765934065935,2026-03-23 00:38:35.563140,2026-03-23 00:40:45.771885,0 days 00:02:10.208745,0.7465447373174767,0.9983689107917987,0.0183234024502698,8,3.6503833523887947,2500,0.00012724181576752517,2.382678038197034,0.7168578594140873,COMPLETE
3,0.9269143296703296,2026-03-23 00:40:46.360872,2026-03-23 00:49:47.607239,0 days 00:09:01.246367,0.6260206371941118,4.041986740582305,0.034277067939409996,4,12.54335218612733,2500,3.4671276804481113,14.230243744913723,0.6682096494749166,COMPLETE
4,0.9293824175824176,2026-03-23 00:49:47.721462,2026-03-23 00:50:44.317914,0 days 00:00:56.596452,0.798070764044508,1.2938999080000846,0.01225199210177624,8,9.362897381052425,2000,2.039373116525212e-08,8.14731157122018,0.6488152939379115,COMPLETE
5,0.9291638021978023,2026-03-23 00:50:44.408068,2026-03-23 00:51:31.216513,0 days 00:00:46.808445,0.9878338511058234,4.474136752138244,0.019120672003192066,7,11.387495307522313,3000,0.09466630153726856,10.985330528057915,0.6739417822102108,COMPLETE
6,0.927782021978022,2026-03-23 00:51:31.355363,2026-03-23 00:52:05.078073,0 days 00:00:33.722710,0.7301321323053057,4.143687545759647,0.06800414597277955,4,4.723674385963759,3000,3.148441347423712e-05,0.014691979880907806,0.6180909155642152,COMPLETE
7,0.9303151208791208,2026-03-23 00:52:05.172812,2026-03-23 00:53:13.059029,0 days 00:01:07.886217,0.6298202574719083,0.993578407670862,0.01793532053620138,7,3.6775602745204905,2000,7.620481786158549,2.0962733672452414,0.9208787923016158,COMPLETE
