,exp052_blend_poststack,exp044_gnn_graphsage,exp026_fttransformer_lite_gpu,exp028_attention_catfreq_gpu,exp026_attention_gpu
exp052_blend_poststack,1.0,0.9485341752621584,0.9811843930241664,0.9847687626830263,0.9878303149657742
exp044_gnn_graphsage,0.9485341752621584,1.0,0.9301862437648788,0.9398909959652639,0.9404152012638758
exp026_fttransformer_lite_gpu,0.9811843930241664,0.9301862437648788,1.0,0.9778110431209116,0.9827831946714795
exp028_attention_catfreq_gpu,0.9847687626830263,0.9398909959652639,0.9778110431209116,1.0,0.9890247419854472
exp026_attention_gpu,0.9878303149657742,0.9404152012638758,0.9827831946714795,0.9890247419854472,1.0
