,exp052_blend_poststack,exp026_fttransformer_lite_gpu,exp047_tabnet_deep,exp028_attention_catfreq_gpu,exp019_blend_bucket_state_crosses_fixed,exp040_gbm_trio_blend
exp052_blend_poststack,1.0,0.9811843930241664,0.9834507045001316,0.9847687626830263,0.9945974845630279,0.995472301527104
exp026_fttransformer_lite_gpu,0.9811843930241664,1.0,0.9661944611340277,0.9778110431209116,0.9763324048263493,0.9771156646991437
exp047_tabnet_deep,0.9834507045001316,0.9661944611340277,1.0,0.9698089116881502,0.9715134688129173,0.9720837062973705
exp028_attention_catfreq_gpu,0.9847687626830263,0.9778110431209116,0.9698089116881502,1.0,0.9781592586555209,0.9799838568146388
exp019_blend_bucket_state_crosses_fixed,0.9945974845630279,0.9763324048263493,0.9715134688129173,0.9781592586555209,1.0,0.9971533997897336
exp040_gbm_trio_blend,0.995472301527104,0.9771156646991437,0.9720837062973705,0.9799838568146388,0.9971533997897336,1.0
