seed,fold,auc,best_epoch
42,1,0.9382428571428572,3
42,2,0.9321802197802198,6
42,3,0.9384604395604396,1
42,4,0.9378560439560438,4
42,5,0.9406043956043956,26
43,1,0.9350846153846155,3
43,2,0.9409417582417583,3
43,3,0.9355615384615383,22
43,4,0.9366505494505495,8
43,5,0.9395505494505495,14
44,1,0.9463538461538462,15
44,2,0.9355692307692309,22
44,3,0.9409516483516484,22
44,4,0.9348648351648351,2
44,5,0.929489010989011,3
45,1,0.9452439560439561,14
45,2,0.9286527472527473,2
45,3,0.9312758241758241,43
45,4,0.9404703296703296,14
45,5,0.9401604395604395,9
46,1,0.9348714285714286,10
46,2,0.938232967032967,7
46,3,0.9395054945054946,9
46,4,0.9347043956043956,6
46,5,0.9406714285714286,12
