fold,seed,trial_seed,best_auc,best_epoch,epochs_ran
1,42,1042,0.9310401098901099,12,24
1,2024,3024,0.9315054945054945,14,26
1,3407,4407,0.9333384615384615,17,29
2,42,2042,0.9200818681318681,12,24
2,2024,4024,0.9176620879120878,15,27
2,3407,5407,0.9185417582417581,16,28
3,42,3042,0.9293862637362638,17,29
3,2024,5024,0.9280736263736263,17,29
3,3407,6407,0.9308813186813187,18,30
4,42,4042,0.9272049450549451,14,26
4,2024,6024,0.9302148351648352,12,24
4,3407,7407,0.9289373626373626,16,28
5,42,5042,0.929739010989011,11,23
5,2024,7024,0.9323999999999999,10,22
5,3407,8407,0.9313741758241758,11,23
