,exp052_blend_poststack,exp019_blend_bucket_state_crosses_fixed,exp016_blend_exp012_exp015,exp013_blend_exp012_exp003,exp010_blend_bucket_features,exp040_gbm_trio_blend
exp052_blend_poststack,1.0,0.9945974845630279,0.9948878245822612,0.9949885793816666,0.9950897022522267,0.995472301527104
exp019_blend_bucket_state_crosses_fixed,0.9945974845630279,1.0,0.998781905613466,0.9975346801304189,0.9968079975379268,0.9971533997897336
exp016_blend_exp012_exp015,0.9948878245822612,0.998781905613466,1.0,0.9985475845431949,0.9981648596497049,0.9981329825406627
exp013_blend_exp012_exp003,0.9949885793816666,0.9975346801304189,0.9985475845431949,1.0,0.998001045799097,0.9983595749606166
exp010_blend_bucket_features,0.9950897022522267,0.9968079975379268,0.9981648596497049,0.998001045799097,1.0,0.9980037707586682
exp040_gbm_trio_blend,0.995472301527104,0.9971533997897336,0.9981329825406627,0.9983595749606166,0.9980037707586682,1.0
