,exp052_blend_poststack,exp015_blend_bucket_pruned_fixed,exp019_blend_bucket_state_crosses_fixed,exp016_blend_exp012_exp015,exp010_blend_bucket_features,exp040_gbm_trio_blend
exp052_blend_poststack,1.0,0.9945114629627695,0.9945974845630279,0.9948878245822612,0.9950897022522267,0.995472301527104
exp015_blend_bucket_pruned_fixed,0.9945114629627695,1.0,0.9987951544132552,0.9999420622608709,0.9976405214702748,0.9976749402805031
exp019_blend_bucket_state_crosses_fixed,0.9945974845630279,0.9987951544132552,1.0,0.998781905613466,0.9968079975379268,0.9971533997897336
exp016_blend_exp012_exp015,0.9948878245822612,0.9999420622608709,0.998781905613466,1.0,0.9981648596497049,0.9981329825406627
exp010_blend_bucket_features,0.9950897022522267,0.9976405214702748,0.9968079975379268,0.9981648596497049,1.0,0.9980037707586682
exp040_gbm_trio_blend,0.995472301527104,0.9976749402805031,0.9971533997897336,0.9981329825406627,0.9980037707586682,1.0
