,exp048_blend_exp012_exp046,exp047_tabnet_deep,exp026_fttransformer_lite_gpu,exp028_attention_catfreq_gpu,exp051_tabnet_deep_seedbag
exp048_blend_exp012_exp046,1.0,0.9777012864274786,0.9789810240224137,0.9824979823663273,0.9829542594616882
exp047_tabnet_deep,0.9777012864274786,1.0,0.9661944611340277,0.9698089116881502,0.9839723067322633
exp026_fttransformer_lite_gpu,0.9789810240224137,0.9661944611340277,1.0,0.9778110431209116,0.970751679948184
exp028_attention_catfreq_gpu,0.9824979823663273,0.9698089116881502,0.9778110431209116,1.0,0.9749489249113813
exp051_tabnet_deep_seedbag,0.9829542594616882,0.9839723067322633,0.970751679948184,0.9749489249113813,1.0
