trial,auc,w_exp026_attention_gpu,w_exp026_fttransformer_lite_gpu
0,0.933358945054945,1.0,0.0
1,0.9326095164835164,0.0,1.0
2,0.9346154725274726,0.5071743917297519,0.4928256082702482
3,0.9339628131868132,0.8949940010888753,0.10500599891112483
4,0.9330408351648352,0.05616107905367301,0.943838920946327
5,0.9342502417582418,0.310957407760897,0.6890425922391029
6,0.9331374065934065,0.07043020113942798,0.929569798860572
7,0.9330712967032967,0.060749237366822584,0.9392507626331774
8,0.9342506373626372,0.8173492711461748,0.18265072885382508
9,0.9339938901098902,0.8890011447603218,0.11099885523967822
10,0.9339440879120878,0.22514028479418416,0.774859715205816
11,0.93456,0.6857478560218359,0.3142521439781641
12,0.9341562197802198,0.8480067307880529,0.15199326921194722
13,0.9346265934065935,0.5996530529208655,0.4003469470791345
14,0.9346236043956044,0.6112467429995289,0.3887532570004712
15,0.9341366593406593,0.8546802285143663,0.14531977148563366
16,0.9338709010989011,0.20767870096582566,0.7923212990341744
17,0.9339895384615383,0.23515232083027277,0.7648476791697274
18,0.934442989010989,0.7486001901320855,0.2513998098679146
19,0.9345047472527473,0.4181656884528056,0.5818343115471943
20,0.9346195164835165,0.5164643777154704,0.48353562228452973
21,0.9344437362637362,0.7474642122761374,0.25253578772386265
22,0.9346011868131867,0.48950997102191834,0.5104900289780817
23,0.9337553846153847,0.9368873594972491,0.06311264050275084
24,0.9345583296703297,0.4557406365111954,0.5442593634888047
25,0.9343036923076923,0.8002629178050557,0.19973708219494432
26,0.9345955604395604,0.659450566679871,0.34054943332012905
27,0.9337177582417582,0.943702869856806,0.0562971301431939
28,0.933387956043956,0.11289456375934626,0.8871054362406539
29,0.9340445274725275,0.8763979582255036,0.1236020417744965
30,0.9345007912087913,0.41660514308737145,0.5833948569126286
31,0.9344689230769231,0.7359674421490797,0.26403255785092034
32,0.9345382857142859,0.4405239889436496,0.5594760110563505
33,0.9339285714285714,0.22116122977096972,0.7788387702290303
34,0.9346421978021977,0.5615475389235641,0.43845246107643576
35,0.9346116043956045,0.6378248656997652,0.3621751343002348
36,0.9329625054945055,0.04440664761639673,0.9555933523836033
37,0.934190945054945,0.29181896043887345,0.7081810395611265
38,0.9341210549450548,0.859297072120945,0.14070292787905503
