number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,0.9341396043956044,2026-03-23 03:18:57.568552,2026-03-23 03:21:38.365568,0 days 00:02:40.797016,0.3119890406724053,7,3500,7.190609389379256,0.02841881747862225,0.812037280884873,COMPLETE
1,0.9331824175824175,2026-03-23 03:21:38.519882,2026-03-23 03:24:55.605637,0 days 00:03:17.085755,1.9398197043239886,6,2500,7.956508044572319,0.025898287605281723,0.5411689885916049,COMPLETE
2,0.9338717362637362,2026-03-23 03:24:55.685805,2026-03-23 03:28:47.436897,0 days 00:03:51.751092,1.0495128632644757,5,4500,4.283831568974037,0.012627329201463677,1.1084844859190754,COMPLETE
3,0.93404,2026-03-23 03:28:47.522018,2026-03-23 03:32:10.805633,0 days 00:03:23.283615,0.7327236865873834,6,3500,3.9764570245642927,0.013770560347033606,1.0842892970704363,COMPLETE
4,0.9330280439560441,2026-03-23 03:32:10.879277,2026-03-23 03:34:08.130092,0 days 00:01:57.250815,0.09290082543999545,5,3500,6.599641068895281,0.023693222883062724,1.684829137724085,COMPLETE
5,0.9334438241758242,2026-03-23 03:34:08.219791,2026-03-23 03:38:32.705648,0 days 00:04:24.485857,1.6167946962329223,5,4000,9.642198760773333,0.012060371447596417,2.4312640661491187,COMPLETE
6,0.9336635604395604,2026-03-23 03:38:32.789708,2026-03-23 03:42:02.959948,0 days 00:03:30.170240,0.9903538202225404,7,3000,6.081067456177209,0.011132723982452594,0.7440764696895577,COMPLETE
7,0.9338665494505496,2026-03-23 03:42:03.043907,2026-03-23 03:44:19.808496,0 days 00:02:16.764589,1.0401360423556216,5,2500,7.637655990477874,0.027155392923951263,1.123422152178822,COMPLETE
