number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9273565714285714,2026-03-23 00:34:13.193478,2026-03-23 00:34:25.459576,0 days 00:00:12.266098,0.6232334448672797,0.07220721098226064,8,31,1.416145155592091,2000,121,0.6245760287469893,0.002570603566117598,0.662397808134481,COMPLETE
1,0.9278895824175825,2026-03-23 00:34:25.668402,2026-03-23 00:34:44.800461,0 days 00:00:19.132059,0.7216968971838151,0.07514773163638976,5,35,0.5824582803960838,1000,160,0.00052821153945323,7.71800699380605e-05,0.6733618039413735,COMPLETE
2,0.9288512967032967,2026-03-23 00:34:45.085650,2026-03-23 00:35:25.783835,0 days 00:00:40.698185,0.6798695128633439,0.013365201439497277,6,74,0.09290082543999545,3000,35,0.00042472707398058225,0.0021465011216654484,0.9140703845572055,COMPLETE
3,0.9293388131868132,2026-03-23 00:35:26.020763,2026-03-23 00:35:43.911575,0 days 00:00:17.890812,0.7218455076693483,0.01425603092014988,10,146,0.8803049874792026,3000,19,7.569183361880229e-08,0.014391207615728067,0.9233589392465844,COMPLETE
4,0.9299456703296702,2026-03-23 00:35:44.232264,2026-03-23 00:35:52.963828,0 days 00:00:08.731564,0.7246844304357644,0.028002016637795054,10,46,0.3697089110510541,1000,17,0.0004793052550782129,0.0008325158565947976,0.8650089137415928,COMPLETE
5,0.9282864615384614,2026-03-23 00:35:53.275560,2026-03-23 00:35:59.741446,0 days 00:00:06.465886,0.6353970008207678,0.05012041881363469,10,94,0.6506606615265287,4000,216,5.805581976088804e-07,2.5529693461039728e-08,0.9687496940092467,COMPLETE
6,0.9271755604395604,2026-03-23 00:35:59.889840,2026-03-23 00:36:10.045329,0 days 00:00:10.155489,0.6563696899899051,0.017581365134766134,6,49,1.9737738732010346,2000,158,0.16587190283399655,4.6876566400928895e-08,0.8170784332632994,COMPLETE
7,0.9297277802197801,2026-03-23 00:36:10.266160,2026-03-23 00:36:22.596554,0 days 00:00:12.330394,0.9085081386743783,0.015116739956471236,9,109,0.23173811905025943,3500,16,4.638759594322625e-08,1.683416412018213e-05,0.8916028672163949,COMPLETE
