fold,seed,trial_seed,best_auc,best_epoch,epochs_ran
1,42,1042,0.9329208791208792,17,33
1,2024,3024,0.9301807692307692,8,24
1,3407,4407,0.9335335164835163,11,27
1,777,1777,0.9313945054945055,9,25
1,1337,2337,0.9322862637362637,13,29
1,1001,2001,0.9316412087912089,10,26
1,2718,3718,0.9355703296703297,13,29
2,42,2042,0.9202884615384616,18,34
2,2024,4024,0.9210236263736264,17,33
2,3407,5407,0.9234153846153845,15,31
2,777,2777,0.924028021978022,19,35
2,1337,3337,0.9225664835164835,17,33
2,1001,3001,0.9194598901098902,12,28
2,2718,4718,0.9204285714285714,20,36
3,42,3042,0.9297868131868132,11,27
3,2024,5024,0.9279851648351648,16,32
3,3407,6407,0.9283010989010989,14,30
3,777,3777,0.9266686813186812,14,30
3,1337,4337,0.9300021978021977,15,31
3,1001,4001,0.9293725274725274,12,28
3,2718,5718,0.9282956043956043,18,34
4,42,4042,0.9272065934065935,21,37
4,2024,6024,0.9307252747252747,11,27
4,3407,7407,0.9265989010989012,12,28
4,777,4777,0.9288994505494506,12,28
4,1337,5337,0.9271736263736263,15,31
4,1001,5001,0.931315934065934,17,33
4,2718,6718,0.927739010989011,15,31
5,42,5042,0.930128021978022,11,27
5,2024,7024,0.9332637362637364,11,27
5,3407,8407,0.9293225274725275,10,26
5,777,5777,0.9306510989010988,10,26
5,1337,6337,0.9324725274725275,14,30
5,1001,6001,0.9308346153846153,10,26
5,2718,7718,0.9317137362637362,10,26
