,exp052_blend_poststack,exp026_fttransformer_lite_gpu,exp047_tabnet_deep,exp028_attention_catfreq_gpu
exp052_blend_poststack,1.0,0.9811843930241664,0.9834507045001316,0.9847687626830263
exp026_fttransformer_lite_gpu,0.9811843930241664,1.0,0.9661944611340277,0.9778110431209116
exp047_tabnet_deep,0.9834507045001316,0.9661944611340277,1.0,0.9698089116881502
exp028_attention_catfreq_gpu,0.9847687626830263,0.9778110431209116,0.9698089116881502,1.0
